 ,Ki nang giap tiep,Giao duc quoc phong,Kien truc may tinh,Toan roi rac,Nhap mon cong nghe thong tin,Co so lap trinh,Toan cao cap A1,Phap luat dai cuong,Giao duc the chat,Ki thuat lap trinh,Co so du lieu,Tieng Anh tong quat 1,Toan cao cap A2,Nhung nguyen li co ban cua Chu nghia Mac - Lenin,He quan tri co so du lieu,Li thuyet do thi,Tieng Anh tong quat 2,Thiet ke wed,Duong loi cach mang Dang cong san Viet Nam,Cau truc du lieu va giai thuat,He dieu hanh,Tieng Anh giao tiep quoc te 1,Tu tuong Ho Chi Minh,Lap trinh Wed,Mang may tinh,Qui hoach tuyen tinh,Tieng Anh giao tiep quoc te 2,An toan thong tin,Xac xuat thong ke,Do an co so KTPM,Chuyen de.NET,Phan tich thiet ke he thong thong tin,Chuyen de Oracle,He thong thong tin quan li,Cong nghe phan mem,Lap trinh tren thiet bi di dong,Pham mem ma nguon mo,Cong nghe thuong mai dien tu,Tieng Anh chuyen nganh,Cong nghe phan mem nang cao,Bao dam chat luong phan mem,Lap trinh di dong nang cao,Chuyen de chuyen sau KTPM 1,Chuyen de chuyen sau KTPM 2,Sinh hoat co van hoc tap,Trung binh tich luy
Diem tong ket,"9,40","7,00","8,10","7,40","6,30","6,30","8,00","8,20","7,00","5,60","7,80","8,00","6,70","6,20","8,10","7,80","7,70","7,00","7,50","5,10","7,30","6,20","8,50","6,40","7,70","7,50","6,90","7,70","8,00","8,00","8,80","7,70","7,60","8,30","8,50","7,80","9,20","7,70","7,40","6,90","7,10","8,50","6,20","7,30",,"7,39"
Diem tong ket,"8,80","7,00","6,20","0,00","5,60","5,40","6,20","6,30","6,10","9,10","8,20","8,00","5,40","6,80","6,30","5,80","6,30","6,90","5,40","7,30","5,10","9,40","5,70","7,30","8,10","6,90","6,20","8,50","8,40","7,70","7,00","7,20","8,00","9,10","7,20","6,90","9,60","7,00","6,90","6,30","6,80","7,20","7,30","7,50",,"7,01"
Diem tong ket,"8,00","0,00","7,00","7,80","6,60","0,00","7,00","0,00","6,60","8,90","7,40","5,90","8,90","7,80","7,60","5,90","7,10","7,20","8,20","6,80","8,00","9,20","7,80","5,80","8,10","7,60","8,40","9,00","7,30","7,50","8,80","7,10","7,40","5,20","7,20","7,30","8,50","7,20","0,00","8,20","6,60","7,00","5,60","6,80",,"7,30"
Diem tong ket,"7,00","7,60","5,40","7,90","7,00","9,30","7,90","7,00","6,80","7,80","8,60","6,40","5,80","8,10","6,50","7,90","7,00","5,40","7,10","5,90","9,70","5,40","8,80","6,60","6,20","9,10","6,90","8,20","8,50","9,00","8,70","7,90","8,90","7,20","9,80","9,40","10,00","9,50","7,70","6,80","6,80","8,50","7,50","7,60",,"7,61"
Diem tong ket,"8,80","7,00","8,60","5,60","6,00","5,70","9,40","7,70","7,00","6,40","6,60","8,20","8,00","6,60","6,50","7,30","5,90","6,20","7,50","6,70","7,00","6,40","9,80","6,30","9,50","6,40","5,80","7,40","8,80","7,00","8,70","9,10","8,30","7,40","8,10","8,90","8,60","7,00","8,10","6,40","7,50","6,90","7,30","8,10",,"7,36"
Diem tong ket,"9,00","7,00","7,70","2,00","6,40","7,20","8,10","6,90","7,80","9,40","8,00","8,00","6,60","6,00","6,00","7,80","6,50","7,40","7,30","6,10","6,90","6,50","9,60","5,50","8,20","8,60","5,20","7,00","6,70","8,50","9,00","7,60","7,00","7,90","8,00","9,30","7,30","8,50","9,40","7,50","7,40","6,20","6,50","8,60",,"7,44"
Diem tong ket,"9,40","7,00","8,70","8,20","7,00","8,50","9,70","8,40","8,00","9,00","8,30","5,40","9,60","6,90","9,00","8,30","6,40","7,20","8,00","8,80","8,40","5,80","9,80","8,10","9,20","7,20","5,00","9,50","9,80","9,00","9,70","9,30","10,00","9,30","8,30","9,50","8,50","10,00","7,90","8,30","8,70","7,00","8,40","7,80",,"8,31"
Diem tong ket,"9,40","8,00","8,00","7,00","6,30","6,50","9,20","8,80","8,00","8,00","8,30","6,60","8,10","7,70","7,60","8,20","6,80","6,90","8,00","6,50","7,50","6,20","9,50","6,60","8,40","8,70","7,40","7,60","8,10","8,00","9,30","7,70","8,00","8,90","8,30","7,60","9,40","7,70","7,70","7,60","6,90","8,50","6,90","7,50",,"7,74"
Diem tong ket,"8,80","7,00","7,50","0,00","6,00","6,00","8,90","8,00","6,00","5,20","5,90","7,20","6,60","7,60","5,60","5,50","7,10","5,20","5,20","9,00","6,60","7,50","7,80","6,70","7,60","8,30","8,80","8,30","8,50","8,60","7,70","7,70","8,60","8,10","8,30","8,80","10,00","7,70","8,50","7,00","7,30","6,50","8,90","6,40",,"7,35"
Diem tong ket,"7,00","9,00","4,30","6,90","5,40","5,70","8,00","8,40","4,50","8,10","6,90","8,20","6,20","7,00","6,60","6,40","6,40","6,40","7,80","5,30","6,00","7,90","8,80","7,50","5,10","7,50","7,90","8,20","7,50","7,10","7,30","7,00","8,00","8,10","8,60","9,30","6,80","8,50","8,00","7,70","6,50","7,90","7,50","8,90",,"7,14"
Diem tong ket,"7,00","9,40","6,00","8,10","5,80","8,00","8,00","6,40","7,30","8,10","8,30","6,60","5,40","7,10","7,20","8,70","5,50","6,90","5,20","9,20","7,50","5,20","5,60","9,80","9,60","6,50","5,90","8,10","8,70","7,00","7,00","8,00","6,70","8,90","7,70","8,20","7,00","8,50","7,60","7,70","7,10","6,60","6,90","6,70",,"7,32"
Diem tong ket,"7,00","9,40","6,00","8,60","7,80","6,60","8,00","6,70","8,00","6,00","7,20","8,00","9,10","6,50","7,50","6,20","6,60","7,50","9,00","7,20","7,30","6,70","9,40","9,20","7,70","6,60","7,20","7,40","9,70","8,90","8,90","8,50","8,70","8,40","9,90","8,70","7,70","8,90","8,50","8,50","7,10","7,50","8,00","8,90",,"7,82"
Diem tong ket,"7,00","9,00","6,90","7,00","4,80","7,00","8,00","6,60","6,80","8,10","5,90","7,90","7,50","6,30","6,50","5,90","5,90","7,00","7,00","6,50","6,40","5,10","9,50","8,00","7,70","6,60","7,50","7,00","8,50","8,10","7,70","9,00","8,70","8,50","9,10","7,90","7,70","8,40","8,00","8,00","7,20","7,60","7,50","8,70",,"7,34"
Diem tong ket,"7,00","9,00","6,60","6,30","4,80","6,00","7,00","8,90","7,00","8,00","5,50","8,20","7,00","6,40","7,40","5,50","7,40","6,80","5,80","6,40","9,10","9,10","6,90","4,60","7,80","7,20","7,40","7,60","8,00","6,00","9,10","7,90","8,00","8,80","7,00","8,20","8,10","7,20","7,00","7,70","7,10","6,60","7,80","8,50",,"7,23"
Diem tong ket,"7,00","9,40","7,30","6,60","5,40","5,90","8,00","8,10","7,40","8,10","8,10","8,50","6,40","6,10","6,40","6,70","6,30","5,70","6,90","5,30","6,70","5,10","8,80","5,80","6,20","8,50","8,50","8,10","9,40","7,90","8,00","7,50","7,50","8,90","9,60","9,20","9,00","7,10","7,00","8,40","7,10","7,00","9,10","7,50",,"7,43"
Diem tong ket,"7,00","9,40","7,50","7,60","5,90","7,00","8,30","7,70","8,20","7,10","6,30","8,00","7,00","7,40","7,20","7,60","7,20","7,50","9,00","6,80","5,80","6,90","9,50","9,70","6,70","5,80","4,50","8,50","8,90","7,80","7,70","9,00","7,30","7,70","7,60","8,50","7,00","8,90","8,30","7,10","7,10","7,40","7,70","7,50",,"7,55"
Diem tong ket,"7,00","9,40","5,10","7,60","6,50","8,00","8,90","5,80","7,20","8,40","9,00","6,50","5,90","6,00","7,90","6,00","6,60","8,50","5,90","6,40","8,90","7,00","5,10","7,70","7,30","7,70","8,80","7,50","8,00","7,80","8,00","8,00","8,00","8,20","9,20","7,00","7,10","7,70","6,70","7,10","6,00","8,00","7,00","7,30",,"7,27"
Diem tong ket,"6,00","9,20","0,00","6,00","5,90","6,50","0,00","9,00","7,30","7,70","7,60","6,90","7,20","6,00","5,30","6,40","5,00","6,00","7,00","3,50","7,30","8,60","6,60","3,70","5,40","8,50","9,60","7,60","6,00","8,70","7,50","7,90","9,60","7,70","7,90","8,30","6,10","7,20","7,60","6,80","7,40","9,20","6,80","6,00",,"7,25"
Diem tong ket,"7,00","9,60","7,20","5,80","7,50","7,40","8,00","8,90","7,90","7,40","8,80","8,10","8,60","5,30","6,00","6,20","6,60","7,40","6,40","7,30","3,60","7,40","8,90","7,60","9,40","5,30","7,50","9,70","9,40","8,60","8,10","7,00","7,50","9,10","9,10","7,00","7,70","8,10","7,40","5,60","8,40","8,00","8,40","7,30",,"7,57"
Diem tong ket,"7,00","9,60","7,90","7,20","8,40","7,40","7,00","9,70","8,30","8,40","7,00","8,10","7,60","2,00","6,30","6,80","6,40","7,10","6,60","8,00","7,60","5,60","4,90","6,60","7,40","8,90","6,30","6,30","8,80","7,30","9,30","8,10","8,00","7,10","7,90","8,70","9,10","7,20","7,60","7,60","7,40","6,80","6,60","7,60",,"7,51"
Diem tong ket,"7,00","9,60","8,30","7,20","8,30","7,80","8,00","9,70","8,40","8,00","7,50","8,70","9,10","9,20","7,50","6,80","8,10","7,40","8,70","6,60","9,00","6,00","8,20","9,50","7,20","9,40","6,00","7,50","8,00","9,30","8,50","8,30","7,50","8,10","7,80","7,80","7,00","8,40","7,80","7,90","8,80","7,20","6,20","8,80",,"7,95"
Diem tong ket,"7,00","9,60","6,70","7,80","7,00","3,60","7,00","8,70","7,20","7,40","6,60","6,40","6,80","5,80","2,00","4,80","6,30","2,90","0,00","6,20","3,50","4,90","9,00","6,00","8,70","5,10","4,50","8,90","8,70","7,80","8,10","8,50","6,90","9,40","7,40","6,00","6,90","5,00","7,00","8,20","6,80","8,20","6,60","4,10",,"6,93"
Diem tong ket,"7,00","7,20","5,80","6,80","7,60","7,00","7,80","6,90","7,60","6,00","6,20","5,00","7,40","6,00","5,40","6,50","4,00","5,90","6,60","4,90","8,70","8,60","9,00","6,30","5,40","7,60","7,90","7,70","6,70","7,20","7,80","7,90","9,60","8,70","8,30","4,40","7,50","7,70","6,80","8,00","6,50","7,90","8,00","7,00",,"7,01"
Diem tong ket,"8,00","7,80","6,60","7,10","8,50","8,00","9,40","7,80","9,00","4,90","5,00","6,70","6,40","6,90","8,00","7,80","4,70","6,60","5,40","9,10","8,90","8,40","5,10","6,90","6,10","7,10","7,80","9,10","8,10","8,30","7,50","7,50","7,10","8,70","8,40","9,00","7,70","7,80","6,50","6,20","8,40","6,30","9,00","5,90",,"7,30"
Diem tong ket,"8,00","8,20","8,20","7,10","8,60","8,00","9,70","8,30","8,70","9,00","7,20","5,00","8,70","6,80","7,10","8,10","8,20","9,10","5,10","8,30","7,30","7,30","9,90","9,10","8,90","5,90","8,20","6,90","9,30","9,60","8,00","7,50","9,30","9,40","9,30","8,50","9,40","9,60","7,90","9,00","9,00","8,60","8,50","7,00",,"8,14"
Diem tong ket,"6,00","9,60","7,10","6,40","6,30","6,70","7,00","8,70","6,10","7,70","7,30","7,90","7,30","5,50","6,10","6,00","6,50","7,10","4,90","6,10","6,20","9,30","7,60","8,80","5,20","6,00","7,90","9,10","8,30","8,20","7,90","8,00","7,00","9,40","8,10","7,00","6,90","6,90","4,90","7,10","9,20","7,60","5,90","8,00",,"7,15"
Diem tong ket,"8,00","6,80","6,20","6,90","7,30","8,50","7,00","8,40","8,70","4,70","5,10","7,10","5,70","5,70","6,70","7,80","6,30","7,40","7,60","7,10","6,20","6,00","9,70","8,40","8,40","5,10","7,50","7,10","8,40","8,10","8,30","8,00","7,20","8,90","9,60","7,80","7,30","8,20","7,00","8,00","6,20","8,20","8,20","8,50",,"7,34"
Diem tong ket,"6,00","9,20","9,40","7,40","8,00","7,20","6,00","8,90","8,20","9,00","9,00","7,90","8,50","8,60","8,40","6,60","6,40","6,20","7,80","7,60","7,30","6,80","9,50","6,50","9,90","6,90","9,10","6,70","9,50","9,60","9,30","8,10","8,50","9,40","9,40","7,80","9,00","6,50","7,30","6,60","6,20","7,90","8,60","6,00",,"7,92"
Diem tong ket,"7,00","7,00","7,80","6,80","7,10","9,80","7,10","8,00","8,40","8,00","7,40","7,40","8,60","6,30","6,00","5,80","5,10","8,50","9,10","8,80","6,60","6,70","6,00","8,90","6,40","6,20","9,20","8,20","7,50","8,00","7,80","8,20","8,30","9,40","7,60","8,20","8,10","9,20","9,40","8,30","7,20","9,20","8,40","8,00",,"7,75"
Diem tong ket,"9,60","7,00","8,30","7,20","7,50","7,00","9,80","7,90","7,00","8,40","8,30","8,40","9,40","6,80","7,00","7,00","6,90","6,50","7,10","7,20","7,90","6,40","9,60","5,20","8,80","8,50","6,60","6,20","8,60","9,00","9,30","8,00","7,90","8,20","7,70","7,30","9,40","8,00","7,80","5,50","6,90","8,70","7,40","6,90",,"7,67"
Diem tong ket,"9,60","8,00","7,60","7,20","7,20","7,20","7,20","8,00","6,40","0,00","4,60","8,70","5,90","5,50","2,00","7,00","6,50","7,40","6,70","7,30","5,10","9,10","4,90","9,00","8,40","6,60","7,20","7,40","8,00","6,90","7,40","8,00","8,30","6,80","6,80","7,70","7,00","8,30","5,60","6,40","7,90","7,40","7,20","7,00",,"7,03"
Diem tong ket,"7,00","7,60","6,60","7,70","7,70","8,30","8,30","7,00","7,10","7,50","9,00","7,60","8,00","6,40","7,40","5,70","6,40","6,70","7,70","6,60","9,30","6,60","6,70","5,10","7,20","8,40","5,80","7,50","7,40","8,90","9,20","7,40","8,00","6,50","8,50","8,50","9,10","8,30","5,70","8,80","8,60","5,40","6,20","6,10",,"7,39"
